shopify_order_id,order_name,created_at,price,quantity,city,state,country,currency_code,financial_status,fulfillment_status,brand,channel,platform
gid://shopify/Order/7246971142441,#262418,2026-03-26T18:17:00Z,1861.0,2,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246970650921,#262417,2026-03-26T18:16:46Z,2848.0,2,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246970552617,#262416,2026-03-26T18:16:43Z,4820.0,4,Meerut,"Uttar Pradesh",India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246970126633,#262415,2026-03-26T18:16:24Z,3328.0,4,Vadodara,Gujarat,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246969307433,#262414,2026-03-26T18:16:01Z,1902.0,3,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246969176361,#262413,2026-03-26T18:15:55Z,886.0,1,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246968193321,#262411,2026-03-26T18:15:22Z,10075.0,7,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246968062249,#262410,2026-03-26T18:15:13Z,4049.0,3,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246967570729,#262408,2026-03-26T18:14:58Z,1922.0,2,BANGALORE,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,Web
gid://shopify/Order/7246964425001,#262403,2026-03-26T18:12:31Z,2018.0,1,Hyderabad,Telangana,India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246963999017,#262399,2026-03-26T18:12:15Z,2331.0,4,Vadodara,Gujarat,India,INR,PAID,UNFULFILLED,Core,D2C,Web
gid://shopify/Order/7246961180969,#262394,2026-03-26T18:10:50Z,4487.0,5,Thane,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246960918825,#262393,2026-03-26T18:10:42Z,1561.0,1,Hyderabad,Telangana,India,INR,PAID,FULFILLED,Core,D2C,App
gid://shopify/Order/7246960754985,#262392,2026-03-26T18:10:40Z,4088.0,3,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246959804713,#262389,2026-03-26T18:10:11Z,1262.0,1,Mumbai,Maharashtra,India,INR,PAID,FULFILLED,Core,D2C,App
gid://shopify/Order/7246958362921,#262386,2026-03-26T18:09:02Z,3696.0,4,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246957347113,#262384,2026-03-26T18:08:23Z,1297.0,2,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246956593449,#262382,2026-03-26T18:07:46Z,4383.0,2,Una,"Himachal Pradesh",India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246956429609,#262381,2026-03-26T18:07:37Z,2276.0,2,Madurai,"Tamil Nadu",India,INR,PAID,PARTIALLY_FULFILLED,Core,D2C,App
gid://shopify/Order/7246955643177,#262380,2026-03-26T18:07:08Z,1981.0,2,Mumbai,Maharashtra,India,INR,PAID,PARTIALLY_FULFILLED,Core,D2C,App
